timestamp,azure_region,service_type,demand_units,capacity_allocated,service_availability,is_holiday,gdp_growth_rate,inflation_rate,it_sector_growth_index
01-01-2023,India,Compute,123,151,99.94,1,5.62,6.8,111.96
01-01-2023,India,Storage,181,210,99.66,1,5.62,6.8,111.96
01-01-2023,US,Compute,219,274,99.76,1,5.62,6.8,111.96
01-01-2023,US,Storage,206,230,99.92,1,5.62,6.8,111.96
01-01-2023,Europe,Compute,271,298,99.59,1,5.62,6.8,111.96
01-01-2023,Europe,Storage,213,255,99.61,1,5.62,6.8,111.96
02-01-2023,India,Compute,262,321,99.72,0,5.62,6.8,111.96
02-01-2023,India,Storage,266,320,99.64,0,5.62,6.8,111.96
02-01-2023,US,Compute,236,288,99.8,0,5.62,6.8,111.96
02-01-2023,US,Storage,118,156,99.74,0,5.62,6.8,111.96
02-01-2023,Europe,Compute,177,214,99.7,0,5.62,6.8,111.96
02-01-2023,Europe,Storage,186,245,99.8,0,5.62,6.8,111.96
03-01-2023,India,Compute,114,137,99.78,0,5.62,6.8,111.96
03-01-2023,India,Storage,156,182,99.58,0,5.62,6.8,111.96
03-01-2023,US,Compute,112,158,99.97,0,5.62,6.8,111.96
03-01-2023,US,Storage,110,143,99.6,0,5.62,6.8,111.96
03-01-2023,Europe,Compute,198,257,99.71,0,5.62,6.8,111.96
03-01-2023,Europe,Storage,297,325,99.92,0,5.62,6.8,111.96
04-01-2023,India,Compute,126,162,99.97,0,5.62,6.8,111.96
04-01-2023,India,Storage,254,293,99.94,0,5.62,6.8,111.96
04-01-2023,US,Compute,104,127,99.56,0,5.62,6.8,111.96
04-01-2023,US,Storage,288,331,99.88,0,5.62,6.8,111.96
04-01-2023,Europe,Compute,172,217,99.66,0,5.62,6.8,111.96
04-01-2023,Europe,Storage,265,288,99.65,0,5.62,6.8,111.96
05-01-2023,India,Compute,270,310,99.57,0,5.62,6.8,111.96
05-01-2023,India,Storage,244,285,99.92,0,5.62,6.8,111.96
05-01-2023,US,Compute,118,175,99.62,0,5.62,6.8,111.96
05-01-2023,US,Storage,234,276,99.75,0,5.62,6.8,111.96
05-01-2023,Europe,Compute,179,226,99.69,0,5.62,6.8,111.96
05-01-2023,Europe,Storage,181,201,99.56,0,5.62,6.8,111.96
06-01-2023,India,Compute,267,297,99.75,0,5.62,6.8,111.96
06-01-2023,India,Storage,132,171,99.52,0,5.62,6.8,111.96
06-01-2023,US,Compute,235,276,99.66,0,5.62,6.8,111.96
06-01-2023,US,Storage,272,307,99.9,0,5.62,6.8,111.96
06-01-2023,Europe,Compute,115,168,99.51,0,5.62,6.8,111.96
06-01-2023,Europe,Storage,214,264,99.52,0,5.62,6.8,111.96
07-01-2023,India,Compute,211,249,99.52,0,5.62,6.8,111.96
07-01-2023,India,Storage,235,256,99.66,0,5.62,6.8,111.96
07-01-2023,US,Compute,113,137,99.76,0,5.62,6.8,111.96
07-01-2023,US,Storage,195,232,99.86,0,5.62,6.8,111.96
07-01-2023,Europe,Compute,186,219,99.58,0,5.62,6.8,111.96
07-01-2023,Europe,Storage,128,149,99.85,0,5.62,6.8,111.96
08-01-2023,India,Compute,265,294,99.7,1,5.62,6.8,111.96
08-01-2023,India,Storage,299,321,99.87,1,5.62,6.8,111.96
08-01-2023,US,Compute,250,275,99.78,1,5.62,6.8,111.96
08-01-2023,US,Storage,115,170,99.62,1,5.62,6.8,111.96
08-01-2023,Europe,Compute,107,151,99.88,1,5.62,6.8,111.96
08-01-2023,Europe,Storage,100,124,99.89,1,5.62,6.8,111.96
09-01-2023,India,Compute,107,164,99.94,0,5.62,6.8,111.96
09-01-2023,India,Storage,201,243,99.88,0,5.62,6.8,111.96
09-01-2023,US,Compute,163,199,99.98,0,5.62,6.8,111.96
09-01-2023,US,Storage,116,166,99.84,0,5.62,6.8,111.96
09-01-2023,Europe,Compute,205,246,99.81,0,5.62,6.8,111.96
09-01-2023,Europe,Storage,124,158,99.73,0,5.62,6.8,111.96
10-01-2023,India,Compute,222,270,99.76,0,5.62,6.8,111.96
10-01-2023,India,Storage,238,285,99.56,0,5.62,6.8,111.96
10-01-2023,US,Compute,201,251,99.71,0,5.62,6.8,111.96
10-01-2023,US,Storage,267,299,99.78,0,5.62,6.8,111.96
10-01-2023,Europe,Compute,150,179,99.77,0,5.62,6.8,111.96
10-01-2023,Europe,Storage,210,261,99.91,0,5.62,6.8,111.96
11-01-2023,India,Compute,230,288,99.98,0,5.62,6.8,111.96
11-01-2023,India,Storage,140,174,99.79,0,5.62,6.8,111.96
11-01-2023,US,Compute,119,151,99.76,0,5.62,6.8,111.96
11-01-2023,US,Storage,124,155,99.96,0,5.62,6.8,111.96
11-01-2023,Europe,Compute,285,329,99.57,0,5.62,6.8,111.96
11-01-2023,Europe,Storage,235,280,99.57,0,5.62,6.8,111.96
12-01-2023,India,Compute,216,257,99.77,0,5.62,6.8,111.96
12-01-2023,India,Storage,190,221,99.64,0,5.62,6.8,111.96
12-01-2023,US,Compute,298,356,99.51,0,5.62,6.8,111.96
12-01-2023,US,Storage,219,251,99.63,0,5.62,6.8,111.96
12-01-2023,Europe,Compute,250,304,99.7,0,5.62,6.8,111.96
12-01-2023,Europe,Storage,267,309,99.94,0,5.62,6.8,111.96
13-01-2023,India,Compute,147,198,99.56,0,5.62,6.8,111.96
13-01-2023,India,Storage,256,284,99.71,0,5.62,6.8,111.96
13-01-2023,US,Compute,298,337,99.74,0,5.62,6.8,111.96
13-01-2023,US,Storage,267,317,99.56,0,5.62,6.8,111.96
13-01-2023,Europe,Compute,288,322,99.64,0,5.62,6.8,111.96
13-01-2023,Europe,Storage,141,185,99.56,0,5.62,6.8,111.96
14-01-2023,India,Compute,245,294,99.64,0,5.62,6.8,111.96
14-01-2023,India,Storage,284,331,99.62,0,5.62,6.8,111.96
14-01-2023,US,Compute,110,164,99.84,0,5.62,6.8,111.96
14-01-2023,US,Storage,176,223,99.91,0,5.62,6.8,111.96
14-01-2023,Europe,Compute,150,185,99.7,0,5.62,6.8,111.96
14-01-2023,Europe,Storage,286,345,99.51,0,5.62,6.8,111.96
15-01-2023,India,Compute,205,232,99.87,1,5.62,6.8,111.96
15-01-2023,India,Storage,203,254,99.67,1,5.62,6.8,111.96
15-01-2023,US,Compute,286,344,99.71,1,5.62,6.8,111.96
15-01-2023,US,Storage,105,133,99.56,1,5.62,6.8,111.96
15-01-2023,Europe,Compute,249,284,99.61,1,5.62,6.8,111.96
15-01-2023,Europe,Storage,271,307,99.76,1,5.62,6.8,111.96
16-01-2023,India,Compute,101,139,99.57,0,5.62,6.8,111.96
16-01-2023,India,Storage,289,313,99.82,0,5.62,6.8,111.96
16-01-2023,US,Compute,179,234,99.78,0,5.62,6.8,111.96
16-01-2023,US,Storage,206,233,99.61,0,5.62,6.8,111.96
16-01-2023,Europe,Compute,268,321,99.79,0,5.62,6.8,111.96
16-01-2023,Europe,Storage,128,162,99.65,0,5.62,6.8,111.96
17-01-2023,India,Compute,187,228,99.66,0,5.62,6.8,111.96
17-01-2023,India,Storage,227,281,99.63,0,5.62,6.8,111.96
17-01-2023,US,Compute,118,146,99.79,0,5.62,6.8,111.96
17-01-2023,US,Storage,170,228,99.82,0,5.62,6.8,111.96
17-01-2023,Europe,Compute,117,172,99.76,0,5.62,6.8,111.96
17-01-2023,Europe,Storage,289,317,99.94,0,5.62,6.8,111.96
18-01-2023,India,Compute,244,275,99.93,0,5.62,6.8,111.96
18-01-2023,India,Storage,215,272,99.92,0,5.62,6.8,111.96
18-01-2023,US,Compute,263,292,99.83,0,5.62,6.8,111.96
18-01-2023,US,Storage,115,151,99.59,0,5.62,6.8,111.96
18-01-2023,Europe,Compute,193,252,99.67,0,5.62,6.8,111.96
18-01-2023,Europe,Storage,145,200,99.56,0,5.62,6.8,111.96
19-01-2023,India,Compute,185,239,99.84,0,5.62,6.8,111.96
19-01-2023,India,Storage,262,283,99.96,0,5.62,6.8,111.96
19-01-2023,US,Compute,256,286,99.6,0,5.62,6.8,111.96
19-01-2023,US,Storage,136,157,99.59,0,5.62,6.8,111.96
19-01-2023,Europe,Compute,150,190,99.96,0,5.62,6.8,111.96
19-01-2023,Europe,Storage,235,265,99.75,0,5.62,6.8,111.96
20-01-2023,India,Compute,105,148,99.8,0,5.62,6.8,111.96
20-01-2023,India,Storage,120,147,99.64,0,5.62,6.8,111.96
20-01-2023,US,Compute,113,133,99.94,0,5.62,6.8,111.96
20-01-2023,US,Storage,291,314,99.99,0,5.62,6.8,111.96
20-01-2023,Europe,Compute,161,199,99.66,0,5.62,6.8,111.96
20-01-2023,Europe,Storage,274,306,99.75,0,5.62,6.8,111.96
21-01-2023,India,Compute,143,168,99.83,0,5.62,6.8,111.96
21-01-2023,India,Storage,201,255,99.98,0,5.62,6.8,111.96
21-01-2023,US,Compute,280,315,99.54,0,5.62,6.8,111.96
21-01-2023,US,Storage,281,336,99.85,0,5.62,6.8,111.96
21-01-2023,Europe,Compute,138,168,99.87,0,5.62,6.8,111.96
21-01-2023,Europe,Storage,204,254,99.66,0,5.62,6.8,111.96
22-01-2023,India,Compute,165,191,99.68,1,5.62,6.8,111.96
22-01-2023,India,Storage,123,149,99.74,1,5.62,6.8,111.96
22-01-2023,US,Compute,117,154,99.54,1,5.62,6.8,111.96
22-01-2023,US,Storage,143,181,99.59,1,5.62,6.8,111.96
22-01-2023,Europe,Compute,174,205,99.85,1,5.62,6.8,111.96
22-01-2023,Europe,Storage,260,304,99.64,1,5.62,6.8,111.96
23-01-2023,India,Compute,146,187,99.67,0,5.62,6.8,111.96
23-01-2023,India,Storage,102,135,99.99,0,5.62,6.8,111.96
23-01-2023,US,Compute,211,263,99.77,0,5.62,6.8,111.96
23-01-2023,US,Storage,125,169,99.91,0,5.62,6.8,111.96
23-01-2023,Europe,Compute,145,174,99.72,0,5.62,6.8,111.96
23-01-2023,Europe,Storage,120,152,99.72,0,5.62,6.8,111.96
24-01-2023,India,Compute,235,283,99.59,0,5.62,6.8,111.96
24-01-2023,India,Storage,293,318,99.74,0,5.62,6.8,111.96
24-01-2023,US,Compute,188,236,99.83,0,5.62,6.8,111.96
24-01-2023,US,Storage,169,197,99.87,0,5.62,6.8,111.96
24-01-2023,Europe,Compute,158,187,99.75,0,5.62,6.8,111.96
24-01-2023,Europe,Storage,114,160,99.74,0,5.62,6.8,111.96
25-01-2023,India,Compute,142,196,99.71,0,5.62,6.8,111.96
25-01-2023,India,Storage,113,142,99.74,0,5.62,6.8,111.96
25-01-2023,US,Compute,254,308,99.79,0,5.62,6.8,111.96
25-01-2023,US,Storage,103,156,99.75,0,5.62,6.8,111.96
25-01-2023,Europe,Compute,198,230,99.54,0,5.62,6.8,111.96
25-01-2023,Europe,Storage,107,131,99.93,0,5.62,6.8,111.96
26-01-2023,India,Compute,166,192,99.61,0,5.62,6.8,111.96
26-01-2023,India,Storage,251,282,99.97,0,5.62,6.8,111.96
26-01-2023,US,Compute,201,247,99.5,0,5.62,6.8,111.96
26-01-2023,US,Storage,236,280,99.85,0,5.62,6.8,111.96
26-01-2023,Europe,Compute,290,325,99.75,0,5.62,6.8,111.96
26-01-2023,Europe,Storage,187,241,99.96,0,5.62,6.8,111.96
27-01-2023,India,Compute,240,285,99.69,0,5.62,6.8,111.96
27-01-2023,India,Storage,211,244,99.88,0,5.62,6.8,111.96
27-01-2023,US,Compute,291,334,99.86,0,5.62,6.8,111.96
27-01-2023,US,Storage,123,168,99.69,0,5.62,6.8,111.96
27-01-2023,Europe,Compute,157,204,99.74,0,5.62,6.8,111.96
