azure_region,service_type,demand_units,capacity_allocated,service_availability,is_holiday,gdp_growth_rate,inflation_rate,it_sector_growth_index,year,month,quarter,day_of_week,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_7,day,forecast
India,Storage,266,320,99.64,0,5.62,6.8,111.96,2023,1,1,0,262.0,213.0,271.0,206.0,219.0,181.0,123.0,231.14285714285714,2,284.3684
US,Compute,236,288,99.8,0,5.62,6.8,111.96,2023,1,1,0,266.0,262.0,213.0,271.0,206.0,219.0,181.0,239.0,2,247.48987
US,Storage,118,156,99.74,0,5.62,6.8,111.96,2023,1,1,0,236.0,266.0,262.0,213.0,271.0,206.0,219.0,224.57142857142858,2,117.86554
Europe,Compute,177,214,99.7,0,5.62,6.8,111.96,2023,1,1,0,118.0,236.0,266.0,262.0,213.0,271.0,206.0,220.42857142857142,2,174.10905
Europe,Storage,186,245,99.8,0,5.62,6.8,111.96,2023,1,1,0,177.0,118.0,236.0,266.0,262.0,213.0,271.0,208.28571428571428,2,205.27429
India,Compute,114,137,99.78,0,5.62,6.8,111.96,2023,1,1,1,186.0,177.0,118.0,236.0,266.0,262.0,213.0,194.14285714285714,3,110.27668
India,Storage,156,182,99.58,0,5.62,6.8,111.96,2023,1,1,1,114.0,186.0,177.0,118.0,236.0,266.0,262.0,179.0,3,142.89061
US,Compute,112,158,99.97,0,5.62,6.8,111.96,2023,1,1,1,156.0,114.0,186.0,177.0,118.0,236.0,266.0,157.0,3,115.15401
US,Storage,110,143,99.6,0,5.62,6.8,111.96,2023,1,1,1,112.0,156.0,114.0,186.0,177.0,118.0,236.0,139.0,3,111.30577
Europe,Compute,198,257,99.71,0,5.62,6.8,111.96,2023,1,1,1,110.0,112.0,156.0,114.0,186.0,177.0,118.0,150.42857142857142,3,210.17256
Europe,Storage,297,325,99.92,0,5.62,6.8,111.96,2023,1,1,1,198.0,110.0,112.0,156.0,114.0,186.0,177.0,167.57142857142858,3,284.1896
India,Compute,126,162,99.97,0,5.62,6.8,111.96,2023,1,1,2,297.0,198.0,110.0,112.0,156.0,114.0,186.0,159.0,4,121.65294
India,Storage,254,293,99.94,0,5.62,6.8,111.96,2023,1,1,2,126.0,297.0,198.0,110.0,112.0,156.0,114.0,179.0,4,253.00793
US,Compute,104,127,99.56,0,5.62,6.8,111.96,2023,1,1,2,254.0,126.0,297.0,198.0,110.0,112.0,156.0,171.57142857142858,4,106.75481
US,Storage,288,331,99.88,0,5.62,6.8,111.96,2023,1,1,2,104.0,254.0,126.0,297.0,198.0,110.0,112.0,196.71428571428572,4,283.97067
Europe,Compute,172,217,99.66,0,5.62,6.8,111.96,2023,1,1,2,288.0,104.0,254.0,126.0,297.0,198.0,110.0,205.57142857142858,4,172.6119
Europe,Storage,265,288,99.65,0,5.62,6.8,111.96,2023,1,1,2,172.0,288.0,104.0,254.0,126.0,297.0,198.0,215.14285714285714,4,251.12257
India,Compute,270,310,99.57,0,5.62,6.8,111.96,2023,1,1,3,265.0,172.0,288.0,104.0,254.0,126.0,297.0,211.28571428571428,5,271.44553
India,Storage,244,285,99.92,0,5.62,6.8,111.96,2023,1,1,3,270.0,265.0,172.0,288.0,104.0,254.0,126.0,228.14285714285714,5,247.13179
US,Compute,118,175,99.62,0,5.62,6.8,111.96,2023,1,1,3,244.0,270.0,265.0,172.0,288.0,104.0,254.0,208.71428571428572,5,132.99623
US,Storage,234,276,99.75,0,5.62,6.8,111.96,2023,1,1,3,118.0,244.0,270.0,265.0,172.0,288.0,104.0,227.28571428571428,5,233.83218
Europe,Compute,179,226,99.69,0,5.62,6.8,111.96,2023,1,1,3,234.0,118.0,244.0,270.0,265.0,172.0,288.0,211.71428571428572,5,186.14035
Europe,Storage,181,201,99.56,0,5.62,6.8,111.96,2023,1,1,3,179.0,234.0,118.0,244.0,270.0,265.0,172.0,213.0,5,165.79166
India,Compute,267,297,99.75,0,5.62,6.8,111.96,2023,1,1,4,181.0,179.0,234.0,118.0,244.0,270.0,265.0,213.28571428571428,6,258.44522
India,Storage,132,171,99.52,0,5.62,6.8,111.96,2023,1,1,4,267.0,181.0,179.0,234.0,118.0,244.0,270.0,193.57142857142858,6,134.32166
US,Compute,235,276,99.66,0,5.62,6.8,111.96,2023,1,1,4,132.0,267.0,181.0,179.0,234.0,118.0,244.0,192.28571428571428,6,235.50352
US,Storage,272,307,99.9,0,5.62,6.8,111.96,2023,1,1,4,235.0,132.0,267.0,181.0,179.0,234.0,118.0,214.28571428571428,6,265.72134
Europe,Compute,115,168,99.51,0,5.62,6.8,111.96,2023,1,1,4,272.0,235.0,132.0,267.0,181.0,179.0,234.0,197.28571428571428,6,123.63167
Europe,Storage,214,264,99.52,0,5.62,6.8,111.96,2023,1,1,4,115.0,272.0,235.0,132.0,267.0,181.0,179.0,202.28571428571428,6,223.22716
India,Compute,211,249,99.52,0,5.62,6.8,111.96,2023,1,1,5,214.0,115.0,272.0,235.0,132.0,267.0,181.0,206.57142857142858,7,214.81769
India,Storage,235,256,99.66,0,5.62,6.8,111.96,2023,1,1,5,211.0,214.0,115.0,272.0,235.0,132.0,267.0,202.0,7,218.97786
US,Compute,113,137,99.76,0,5.62,6.8,111.96,2023,1,1,5,235.0,211.0,214.0,115.0,272.0,235.0,132.0,199.28571428571428,7,110.70248
US,Storage,195,232,99.86,0,5.62,6.8,111.96,2023,1,1,5,113.0,235.0,211.0,214.0,115.0,272.0,235.0,193.57142857142858,7,192.94994
Europe,Compute,186,219,99.58,0,5.62,6.8,111.96,2023,1,1,5,195.0,113.0,235.0,211.0,214.0,115.0,272.0,181.28571428571428,7,175.89706
Europe,Storage,128,149,99.85,0,5.62,6.8,111.96,2023,1,1,5,186.0,195.0,113.0,235.0,211.0,214.0,115.0,183.14285714285714,7,118.31388
India,Compute,265,294,99.7,1,5.62,6.8,111.96,2023,1,1,6,128.0,186.0,195.0,113.0,235.0,211.0,214.0,190.42857142857142,8,253.12027
India,Storage,299,321,99.87,1,5.62,6.8,111.96,2023,1,1,6,265.0,128.0,186.0,195.0,113.0,235.0,211.0,203.0,8,283.4479
US,Compute,250,275,99.78,1,5.62,6.8,111.96,2023,1,1,6,299.0,265.0,128.0,186.0,195.0,113.0,235.0,205.14285714285714,8,236.22081
US,Storage,115,170,99.62,1,5.62,6.8,111.96,2023,1,1,6,250.0,299.0,265.0,128.0,186.0,195.0,113.0,205.42857142857142,8,126.64857
Europe,Compute,107,151,99.88,1,5.62,6.8,111.96,2023,1,1,6,115.0,250.0,299.0,265.0,128.0,186.0,195.0,192.85714285714286,8,115.55527
Europe,Storage,100,124,99.89,1,5.62,6.8,111.96,2023,1,1,6,107.0,115.0,250.0,299.0,265.0,128.0,186.0,180.57142857142858,8,105.491455
India,Compute,107,164,99.94,0,5.62,6.8,111.96,2023,1,1,0,100.0,107.0,115.0,250.0,299.0,265.0,128.0,177.57142857142858,9,114.74252
India,Storage,201,243,99.88,0,5.62,6.8,111.96,2023,1,1,0,107.0,100.0,107.0,115.0,250.0,299.0,265.0,168.42857142857142,9,201.55449
US,Compute,163,199,99.98,0,5.62,6.8,111.96,2023,1,1,0,201.0,107.0,100.0,107.0,115.0,250.0,299.0,149.0,9,158.93475
US,Storage,116,166,99.84,0,5.62,6.8,111.96,2023,1,1,0,163.0,201.0,107.0,100.0,107.0,115.0,250.0,129.85714285714286,9,126.54824
Europe,Compute,205,246,99.81,0,5.62,6.8,111.96,2023,1,1,0,116.0,163.0,201.0,107.0,100.0,107.0,115.0,142.71428571428572,9,201.83945
Europe,Storage,124,158,99.73,0,5.62,6.8,111.96,2023,1,1,0,205.0,116.0,163.0,201.0,107.0,100.0,107.0,145.14285714285714,9,116.49465
India,Compute,222,270,99.76,0,5.62,6.8,111.96,2023,1,1,1,124.0,205.0,116.0,163.0,201.0,107.0,100.0,162.57142857142858,10,225.91539
India,Storage,238,285,99.56,0,5.62,6.8,111.96,2023,1,1,1,222.0,124.0,205.0,116.0,163.0,201.0,107.0,181.28571428571428,10,243.54536
US,Compute,201,251,99.71,0,5.62,6.8,111.96,2023,1,1,1,238.0,222.0,124.0,205.0,116.0,163.0,201.0,181.28571428571428,10,210.3269
US,Storage,267,299,99.78,0,5.62,6.8,111.96,2023,1,1,1,201.0,238.0,222.0,124.0,205.0,116.0,163.0,196.14285714285714,10,260.61514
Europe,Compute,150,179,99.77,0,5.62,6.8,111.96,2023,1,1,1,267.0,201.0,238.0,222.0,124.0,205.0,116.0,201.0,10,138.99545
Europe,Storage,210,261,99.91,0,5.62,6.8,111.96,2023,1,1,1,150.0,267.0,201.0,238.0,222.0,124.0,205.0,201.71428571428572,10,218.80505
India,Compute,230,288,99.98,0,5.62,6.8,111.96,2023,1,1,2,210.0,150.0,267.0,201.0,238.0,222.0,124.0,216.85714285714286,11,245.80203
India,Storage,140,174,99.79,0,5.62,6.8,111.96,2023,1,1,2,230.0,210.0,150.0,267.0,201.0,238.0,222.0,205.14285714285714,11,136.50046
US,Compute,119,151,99.76,0,5.62,6.8,111.96,2023,1,1,2,140.0,230.0,210.0,150.0,267.0,201.0,238.0,188.14285714285714,11,115.955185
US,Storage,124,155,99.96,0,5.62,6.8,111.96,2023,1,1,2,119.0,140.0,230.0,210.0,150.0,267.0,201.0,177.14285714285714,11,115.29088
Europe,Compute,285,329,99.57,0,5.62,6.8,111.96,2023,1,1,2,124.0,119.0,140.0,230.0,210.0,150.0,267.0,179.71428571428572,11,284.01642
Europe,Storage,235,280,99.57,0,5.62,6.8,111.96,2023,1,1,2,285.0,124.0,119.0,140.0,230.0,210.0,150.0,191.85714285714286,11,239.68011
India,Compute,216,257,99.77,0,5.62,6.8,111.96,2023,1,1,3,235.0,285.0,124.0,119.0,140.0,230.0,210.0,192.71428571428572,12,216.62227
India,Storage,190,221,99.64,0,5.62,6.8,111.96,2023,1,1,3,216.0,235.0,285.0,124.0,119.0,140.0,230.0,187.0,12,179.51617
US,Compute,298,356,99.51,0,5.62,6.8,111.96,2023,1,1,3,190.0,216.0,235.0,285.0,124.0,119.0,140.0,209.57142857142858,12,293.56158
